squaremeters,numberofrooms,hasyard,haspool,floors,citycode,citypartrange,numprevowners,made,isnewbuilt,hasstormprotector,basement,attic,garage,hasstorageroom,hasguestroom,price,hasyard_num,squaremeters_hasyard,squaremeters_numberofrooms,haspool_num,squaremeters_haspool,squaremeters_citycode,citypartrange_num,squaremeters_citypartrange,numprevowners_num,squaremeters_numprevowners,squaremeters_made,isnewbuilt_num,squaremeters_isnewbuilt,hasstormprotector_num,squaremeters_hasstormprotector,squaremeters_basement,squaremeters_attic,squaremeters_garage,hasstorageroom_num,squaremeters_hasstorageroom,hasguestroom_num,squaremeters_hasguestroom,squaremeters_squared,numberofrooms_squared,squaremeters_bin,numprevowners_bin,avg_price_citypart,avg_size_rooms,price_per_sqm,rooms_per_floor
75523,3,0,1,63,9373,3,8,2005,0,1,4313,9005,956,0,7,7559081.5,0,0,226569,1,75523,707877079,2,151046,7,528661,151423615,0,0,1,75523,325730699,680084615,72199988,0,0,7,528661,5703723529,9,xlarge,many,5026028.922322322,49232.99137931035,100.08979383763887,0.047619047619047616
80771,39,1,1,98,39381,8,6,2015,1,0,3653,2436,128,1,2,8085989.5,1,80771,3150069,1,80771,3180842751,7,565397,5,403855,162753565,1,80771,0,0,295056463,196758156,10338688,1,80771,2,161542,6523954441,1521,xlarge,many,5082120.242898551,45618.045454545456,100.11005806539475,0.3979591836734694
55712,58,0,1,19,34457,6,8,2021,0,0,2937,8852,135,1,9,5574642.1,0,0,3231296,1,55712,1919668384,5,278560,7,389984,112593952,0,0,0,0,163626144,493162624,7521120,1,55712,9,501408,3103826944,3364,large,many,4990101.053989638,51161.30434782609,100.06178381677196,3.0526315789473686
32316,47,0,0,6,27939,10,4,2012,0,1,659,7141,359,0,3,3232561.2,0,0,1518852,0,0,902876724,9,290844,3,96948,65019792,0,0,1,32316,21296244,230768556,11601444,0,0,3,96948,1044323856,2209,medium,moderate,4978566.710358566,50755.84745762712,100.02974378017082,7.833333333333333
70429,19,1,1,90,38045,3,7,1990,1,0,8435,2429,292,1,4,7055052.0,1,70429,1338151,1,70429,2679471305,2,140858,6,422574,140153710,1,70429,0,0,594068615,171072041,20565268,1,70429,4,281716,4960244041,361,large,many,5026028.922322322,52308.17307692308,100.17254256059294,0.2111111111111111
39223,36,0,1,17,39489,8,6,2012,0,1,2009,4552,757,0,1,3926647.2,0,0,1412028,1,39223,1548877047,7,274561,5,196115,78916676,0,0,1,39223,78799007,178543096,29691811,0,0,1,39223,1538443729,1296,medium,many,5082120.242898551,51370.21782178218,100.11083292965863,2.1176470588235294
58682,10,1,1,99,6450,10,9,1995,1,1,5930,9453,848,0,5,5876376.5,1,58682,586820,1,58682,378498900,9,528138,8,469456,117070590,1,58682,1,58682,347984260,554720946,49762336,0,0,5,293410,3443577124,100,large,many,4978566.710358566,50025.61320754717,100.13933574179475,0.10101010101010101
86929,100,1,0,11,98155,3,4,2003,1,0,6326,4748,654,0,10,8696869.3,1,86929,8692900,0,0,8532515995,2,173858,3,260787,174118787,1,86929,0,0,549912854,412738892,56851566,0,0,10,869290,7556651041,10000,xlarge,moderate,5026028.922322322,45976.19298245614,100.04566140183368,9.090909090909092
51522,3,0,0,61,9047,8,3,2012,1,1,632,5792,807,1,5,5154055.2,0,0,154566,0,0,466119534,7,360654,2,103044,103662264,1,51522,1,51522,32561904,298415424,41578254,1,51522,5,257610,2654516484,9,large,moderate,5082120.242898551,49232.99137931035,100.03600791894725,0.04918032786885246
39686,42,0,0,15,71019,5,8,2021,1,1,5198,5342,591,1,3,3970892.1,0,0,1666812,0,0,2818460034,4,158744,7,277802,80205406,1,39686,1,39686,206287828,212002612,23454426,1,39686,3,119058,1574978596,1764,medium,many,5059792.208050436,45301.42222222222,100.05775588368695,2.8
23563,21,0,1,90,91058,6,8,1993,1,0,703,852,684,1,10,2366397.3,0,0,494823,1,23563,2145599654,5,117815,7,164941,46961059,1,23563,0,0,16564789,20075676,16117092,1,23563,10,235630,555214969,441,small,many,4990101.053989638,49824.221153846156,100.42852353265712,0.23333333333333334
96470,74,1,0,21,92029,4,2,2011,1,1,5414,1172,716,1,9,9652258.1,1,96470,7138780,0,0,8878037630,3,289410,1,96470,194001170,1,96470,1,96470,522288580,113062840,69072520,1,96470,9,868230,9306460900,5476,xlarge,few,4932944.709190809,53212.93518518518,100.05450502746967,3.5238095238095237
19127,31,1,0,5,7475,2,9,2008,0,0,5387,4430,374,0,4,1914688.8,1,19127,592937,0,0,142974325,1,19127,8,153016,38407016,0,0,0,0,103037149,84732610,7153498,0,0,4,76508,365842129,961,small,many,4931873.412525252,46894.04761904762,100.10397866889737,6.2
13087,44,1,0,77,40475,8,4,2004,1,0,1745,724,582,0,0,1320803.4,1,13087,575828,0,0,529696325,7,91609,3,39261,26226348,1,13087,0,0,22836815,9474988,7616634,0,0,0,0,171269569,1936,small,moderate,5082120.242898551,46489.81914893617,100.92484144570948,0.5714285714285714
79770,3,0,1,69,54812,10,5,2018,0,1,8871,7117,240,0,7,7986665.8,0,0,239310,1,79770,4372353240,9,717930,4,319080,160975860,0,0,1,79770,707639670,567723090,19144800,0,0,7,558390,6363252900,9,xlarge,moderate,4978566.710358566,49232.99137931035,100.12117086624043,0.043478260869565216
75985,60,1,0,67,6517,6,9,2009,1,1,4878,281,384,1,5,7607322.9,1,75985,4559100,0,0,495194245,5,379925,8,607880,152653865,1,75985,1,75985,370654830,21351785,29178240,1,75985,5,379925,5773720225,3600,xlarge,many,4990101.053989638,54909.31304347826,100.11611370665264,0.8955223880597015
64169,88,0,1,6,61711,3,9,2011,1,1,3054,129,726,0,9,6420823.1,0,0,5646872,1,64169,3959933159,2,128338,8,513352,129043859,1,64169,1,64169,195972126,8277801,46586694,0,0,9,577521,4117660561,7744,large,many,5026028.922322322,46142.33720930233,100.06113699761566,14.666666666666666
99371,31,1,1,16,96297,7,8,2013,1,1,3258,6296,354,1,8,9944705.3,1,99371,3080501,1,99371,9569129187,6,596226,7,695597,200033823,1,99371,1,99371,323750718,625639816,35177334,1,99371,8,794968,9874595641,961,xlarge,many,5069664.609451219,46894.04761904762,100.07653440138472,1.9375
25966,37,1,1,17,22818,3,1,2016,0,0,8257,2557,162,0,6,2604486.6,1,25966,960742,1,25966,592492188,2,51932,0,0,52347456,0,0,0,0,214401262,66395062,4206492,0,0,6,155796,674233156,1369,medium,few,5026028.922322322,51394.142857142855,100.30372795193715,2.176470588235294
41792,43,1,1,10,80768,9,5,2017,1,1,2950,9573,572,1,5,4187667.7,1,41792,1797056,1,41792,3375456256,8,334336,4,167168,84294464,1,41792,1,41792,123286400,400074816,23905024,1,41792,5,208960,1746571264,1849,medium,moderate,4954626.623069207,50215.08181818182,100.2026153330781,4.3
28795,64,1,1,50,97667,3,4,2009,1,1,9862,2666,330,1,0,2888047.9,1,28795,1842880,1,28795,2812321265,2,57590,3,86385,57849155,1,28795,1,28795,283976290,76767470,9502350,1,28795,0,0,829152025,4096,medium,moderate,5026028.922322322,48730.85585585586,100.29685362042021,1.28
92383,12,0,0,78,71982,3,7,2000,0,0,7507,9056,892,1,1,9244344.0,0,0,1108596,0,0,6649913106,2,184766,6,554298,184766000,0,0,0,0,693519181,836620448,82405636,1,92383,1,92383,8534618689,144,xlarge,many,5026028.922322322,50767.06451612903,100.06542329216414,0.15384615384615385
33279,64,1,0,65,91690,3,2,2019,1,1,2427,717,732,0,1,3333351.9,1,33279,2129856,0,0,3051351510,2,66558,1,33279,67190301,1,33279,1,33279,80768133,23861043,24360228,0,0,1,33279,1107491841,4096,medium,few,5026028.922322322,48730.85585585586,100.16382403317407,0.9846153846153847
34782,47,0,0,73,35331,1,4,2020,0,1,9586,6604,822,0,2,3482594.0,0,0,1634754,0,0,1228882842,0,0,3,104346,70259640,0,0,1,34782,333420252,229700328,28590804,0,0,2,69564,1209787524,2209,medium,moderate,4903580.0811871225,50755.84745762712,100.12632971076994,0.6438356164383562
13386,51,0,0,90,87978,4,6,1993,0,0,2885,1149,904,1,4,1342509.3,0,0,682686,0,0,1177673508,3,40158,5,66930,26678298,0,0,0,0,38618610,15380514,12100944,1,13386,4,53544,179184996,2601,small,many,4932944.709190809,51792.52,100.29204392649036,0.5666666666666667
20883,56,0,0,54,85377,5,9,2018,0,0,9982,8142,670,1,10,2091505.8,0,0,1169448,0,0,1782927891,4,83532,8,167064,42141894,0,0,0,0,208454106,170029386,13991610,1,20883,10,208830,436099689,3136,small,many,5059792.208050436,49585.644230769234,100.15351242637553,1.037037037037037
95121,46,0,1,3,9382,7,9,1994,0,0,615,1221,328,0,10,9515440.4,0,0,4375566,1,95121,892425222,6,570726,8,760968,189671274,0,0,0,0,58499415,116142741,31199688,0,0,10,951210,9048004641,2116,xlarge,many,5069664.609451219,51354.06122448979,100.0351173768148,15.333333333333334
6071,72,1,0,14,8410,2,6,2003,1,1,3306,3635,295,0,2,612471.3,1,6071,437112,0,0,51057110,1,6071,5,30355,12160213,1,6071,1,6071,20070726,22068085,1790945,0,0,2,12142,36857041,5184,small,many,4931873.412525252,53759.36046511628,100.88474715862297,5.142857142857143
11844,43,0,0,55,46144,6,5,1993,1,0,5292,8233,395,0,10,1189939.3,0,0,509292,0,0,546529536,5,59220,4,47376,23605092,1,11844,0,0,62678448,97511652,4678380,0,0,10,118440,140280336,1849,small,moderate,4990101.053989638,50215.08181818182,100.46768828098615,0.7818181818181819
52078,7,1,1,73,20372,10,4,2016,1,1,1864,2049,558,0,5,5217708.6,1,52078,364546,1,52078,1060933016,9,468702,3,156234,104989248,1,52078,1,52078,97073392,106707822,29059524,0,0,5,260390,2712118084,49,large,moderate,4978566.710358566,47766.854368932036,100.19026460309534,0.0958904109589041
25897,98,1,0,92,20344,2,4,1993,0,1,9799,9569,116,1,10,2598763.3,1,25897,2537906,0,0,526848568,1,25897,3,77691,51612721,0,0,1,25897,253764703,247808393,3004052,1,25897,10,258970,670654609,9604,medium,moderate,4931873.412525252,52360.40909090909,100.34997490056763,1.065217391304348
85443,40,1,1,54,339,3,1,2021,1,0,3056,8928,292,1,2,8555234.1,1,85443,3417720,1,85443,28965177,2,170886,0,0,172680303,1,85443,0,0,261113808,762835104,24949356,1,85443,2,170886,7300506249,1600,xlarge,few,5026028.922322322,50064.90243902439,100.127969523542,0.7407407407407407
11412,78,0,0,79,73807,1,5,2009,1,1,6899,8997,695,0,0,1145642.9,0,0,890136,0,0,842285484,0,0,4,45648,22926708,1,11412,1,11412,78731388,102673764,7931340,0,0,0,0,130233744,6084,small,moderate,4903580.0811871225,50623.70786516854,100.38931826147913,0.9873417721518988
97550,89,1,1,98,78155,2,5,2014,1,0,5391,897,388,0,0,9765099.4,1,97550,8681950,1,97550,7624020250,1,97550,4,390200,196465700,1,97550,0,0,525892050,87502350,37849400,0,0,0,0,9516002500,7921,xlarge,moderate,4931873.412525252,54611.11111111111,100.10353049718094,0.9081632653061225
76485,47,1,0,9,90254,2,9,2008,1,0,2860,3129,982,0,1,7653300.8,1,76485,3594795,0,0,6903077190,1,76485,8,611880,153581880,1,76485,0,0,218747100,239321565,75108270,0,0,1,76485,5849955225,2209,xlarge,many,4931873.412525252,50755.84745762712,100.06276786297967,5.222222222222222
26169,29,0,0,62,66489,9,7,1993,0,1,7918,187,919,1,9,2622399.3,0,0,758901,0,0,1739950641,8,209352,6,157014,52154817,0,0,1,26169,207206142,4893603,24049311,1,26169,9,235521,684816561,841,medium,many,4954626.623069207,50130.12359550562,100.2101455921128,0.46774193548387094
24239,87,1,0,91,73056,4,7,1998,0,0,6656,7149,698,0,3,2427801.8,1,24239,2108793,0,0,1770804384,3,72717,6,145434,48429522,0,0,0,0,161334784,173284611,16918822,0,0,3,72717,587529121,7569,small,many,4932944.709190809,50266.5462962963,100.1609719872932,0.9560439560439561
36239,8,0,1,24,66771,7,6,1990,0,1,6679,6528,798,1,5,3627708.0,0,0,289912,1,36239,2419714269,6,217434,5,181195,72115610,0,0,1,36239,242040281,236568192,28918722,1,36239,5,181195,1313265121,64,medium,many,5069664.609451219,48524.20952380952,100.10508016225613,0.3333333333333333
10500,88,0,1,49,10533,10,1,2013,1,1,4170,5501,422,0,5,1057021.3,0,0,924000,1,10500,110596500,9,94500,0,0,21136500,1,10500,1,10500,43785000,57760500,4431000,0,0,5,52500,110250000,7744,small,few,4978566.710358566,46142.33720930233,100.66869523809524,1.7959183673469388
87060,27,0,1,91,51803,8,10,2000,0,0,6629,435,512,0,7,8711426.0,0,0,2350620,1,87060,4509969180,7,609420,9,783540,174120000,0,0,0,0,577120740,37871100,44574720,0,0,7,609420,7579443600,729,xlarge,many,5082120.242898551,51485.321100917434,100.0623248334482,0.2967032967032967
66683,19,1,1,6,50801,6,2,2001,0,0,7473,796,237,1,3,6677649.1,1,66683,1266977,1,66683,3387563083,5,333415,1,66683,133432683,0,0,0,0,498322059,53079668,15803871,1,66683,3,200049,4446622489,361,large,few,4990101.053989638,52308.17307692308,100.14020215047313,3.1666666666666665
